Team1,Team2,Ground,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,year,Day,Victory
India,New Zealand,Manchester,New Zealand,England,Neutral,Neutral,First,Second,1975,Saturday,batting second
India,West Indies,Birmingham,West Indies,England,Neutral,Neutral,First,Second,1979,Saturday,batting second
India,New Zealand,Leeds,New Zealand,England,Neutral,Neutral,First,Second,1979,Wednesday,batting second
India,Sri Lanka,Manchester,Sri Lanka,England,Neutral,Neutral,Second,First,1979,Saturday,batting first
India,New Zealand,Perth,India,Australia,Neutral,Neutral,First,Second,1980,Tuesday,batting first
India,New Zealand,Brisbane,New Zealand,Australia,Neutral,Neutral,First,Second,1980,Sunday,batting second
India,New Zealand,Adelaide,India,Australia,Neutral,Neutral,First,Second,1980,Tuesday,batting first
India,New Zealand,Melbourne,New Zealand,Australia,Neutral,Neutral,First,Second,1981,Saturday,batting second
India,New Zealand,Brisbane,New Zealand,Australia,Neutral,Neutral,Second,First,1981,Sunday,batting first
India,England,Ahmedabad,England,India,Home,Away,First,Second,1981,Wednesday,batting second
India,England,Jalandhar,India,India,Home,Away,Second,First,1981,Sunday,batting second
India,England,Cuttack,India,India,Home,Away,Second,First,1982,Wednesday,batting second
India,Sri Lanka,Amritsar,India,India,Home,Away,First,Second,1982,Sunday,batting first
India,Sri Lanka,Delhi,India,India,Home,Away,Second,First,1982,Wednesday,batting second
India,Sri Lanka,Bengaluru,India,India,Home,Away,Second,First,1982,Sunday,batting second
India,West Indies,Manchester,India,England,Neutral,Neutral,First,Second,1983,Thursday,batting first
India,Zimbabwe,Leicester,India,England,Neutral,Neutral,Second,First,1983,Saturday,batting second
India,West Indies,The Oval,West Indies,England,Neutral,Neutral,Second,First,1983,Wednesday,batting first
India,Zimbabwe,Tunbridge Wells,India,England,Neutral,Neutral,First,Second,1983,Saturday,batting first
India,West Indies,Lord's,India,England,Neutral,Neutral,First,Second,1983,Saturday,batting first
India,Pakistan,Hyderabad,India,India,Home,Away,Second,First,1983,Saturday,batting second
India,Pakistan,Jaipur,India,India,Home,Away,Second,First,1983,Sunday,batting second
India,West Indies,Srinagar,West Indies,India,Home,Away,Second,First,1983,Thursday,batting first
India,West Indies,Vadodara,West Indies,India,Home,Away,First,Second,1983,Wednesday,batting second
India,West Indies,Indore,West Indies,India,Home,Away,First,Second,1983,Thursday,batting second
India,West Indies,Jamshedpur,West Indies,India,Home,Away,Second,First,1983,Wednesday,batting first
India,West Indies,Guwahati,West Indies,India,Home,Away,First,Second,1983,Saturday,batting second
India,Sri Lanka,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1984,Sunday,batting second
India,Pakistan,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1984,Friday,batting first
India,Australia,Ahmedabad,Australia,India,Home,Away,First,Second,1984,Friday,batting second
India,Australia,Indore,Australia,India,Home,Away,First,Second,1984,Saturday,batting second
India,England,Pune,England,India,Home,Away,First,Second,1984,Wednesday,batting second
India,England,Cuttack,England,India,Home,Away,Second,First,1984,Thursday,batting first
India,England,Bengaluru,England,India,Home,Away,First,Second,1985,Sunday,batting second
India,England,Nagpur,India,India,Home,Away,Second,First,1985,Wednesday,batting second
India,England,Chandigarh,England,India,Home,Away,Second,First,1985,Sunday,batting first
India,Pakistan,Melbourne,India,Australia,Neutral,Neutral,Second,First,1985,Wednesday,batting second
India,New Zealand,Sydney,India,Australia,Neutral,Neutral,Second,First,1985,Tuesday,batting second
India,Pakistan,Melbourne,India,Australia,Neutral,Neutral,Second,First,1985,Sunday,batting second
India,Pakistan,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1985,Friday,batting first
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1985,Sunday,batting first
India,West Indies,Sharjah,West Indies,U.A.E.,Neutral,Neutral,First,Second,1985,Friday,batting second
India,New Zealand,Brisbane,India,Australia,Neutral,Neutral,Second,First,1986,Saturday,batting second
India,New Zealand,Perth,New Zealand,Australia,Neutral,Neutral,First,Second,1986,Saturday,batting second
India,New Zealand,Melbourne,New Zealand,Australia,Neutral,Neutral,First,Second,1986,Thursday,batting second
India,New Zealand,Adelaide,India,Australia,Neutral,Neutral,Second,First,1986,Saturday,batting second
India,New Zealand,Launceston,India,Australia,Neutral,Neutral,First,Second,1986,Sunday,batting first
India,New Zealand,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1986,Thursday,batting second
India,Sri Lanka,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1986,Sunday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1986,Friday,batting first
India,Australia,Jaipur,India,India,Home,Away,Second,First,1986,Sunday,batting second
India,Australia,Srinagar,Australia,India,Home,Away,First,Second,1986,Tuesday,batting second
India,Australia,Delhi,India,India,Home,Away,Second,First,1986,Thursday,batting second
India,Australia,Ahmedabad,India,India,Home,Away,First,Second,1986,Sunday,batting first
India,Australia,Rajkot,Australia,India,Home,Away,First,Second,1986,Tuesday,batting second
India,Sri Lanka,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1986,Thursday,batting second
India,West Indies,Sharjah,West Indies,U.A.E.,Neutral,Neutral,Second,First,1986,Sunday,batting first
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1986,Friday,batting second
India,Sri Lanka,Kanpur,Sri Lanka,India,Home,Away,Second,First,1986,Wednesday,batting first
India,Sri Lanka,Guwahati,India,India,Home,Away,Second,First,1987,Sunday,batting second
India,Sri Lanka,Delhi,India,India,Home,Away,Second,First,1987,Tuesday,batting second
India,Sri Lanka,Vadodara,India,India,Home,Away,First,Second,1987,Thursday,batting first
India,Sri Lanka,Mumbai,India,India,Home,Away,First,Second,1987,Saturday,batting first
India,Pakistan,Indore,Pakistan,India,Home,Away,First,Second,1987,Tuesday,batting second
India,Pakistan,Kolkata,Pakistan,India,Home,Away,First,Second,1987,Wednesday,batting second
India,Pakistan,Pune,Pakistan,India,Home,Away,First,Second,1987,Sunday,batting second
India,Pakistan,Nagpur,Pakistan,India,Home,Away,Second,First,1987,Tuesday,batting first
India,Pakistan,Jamshedpur,Pakistan,India,Home,Away,First,Second,1987,Thursday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1987,Friday,batting second
India,Australia,Chennai,Australia,India,Home,Away,Second,First,1987,Friday,batting first
India,New Zealand,Bengaluru,India,India,Home,Away,First,Second,1987,Wednesday,batting first
India,Zimbabwe,Mumbai,India,India,Home,Away,Second,First,1987,Saturday,batting second
India,Australia,Delhi,India,India,Home,Away,First,Second,1987,Thursday,batting first
India,Zimbabwe,Ahmedabad,India,India,Home,Away,Second,First,1987,Monday,batting second
India,New Zealand,Nagpur,India,India,Home,Away,Second,First,1987,Saturday,batting second
India,England,Mumbai,England,India,Home,Away,Second,First,1987,Thursday,batting first
India,West Indies,Nagpur,West Indies,India,Home,Away,Second,First,1987,Tuesday,batting first
India,West Indies,Guwahati,West Indies,India,Home,Away,Second,First,1987,Wednesday,batting first
India,West Indies,Kolkata,India,India,Home,Away,First,Second,1988,Saturday,batting first
India,West Indies,Rajkot,West Indies,India,Home,Away,First,Second,1988,Tuesday,batting second
India,West Indies,Ahmedabad,West Indies,India,Home,Away,Second,First,1988,Thursday,batting first
India,West Indies,Faridabad,West Indies,India,Home,Away,First,Second,1988,Tuesday,batting second
India,West Indies,Gwalior,West Indies,India,Home,Away,Second,First,1988,Friday,batting first
India,West Indies,Thiruvananthapuram,West Indies,India,Home,Away,First,Second,1988,Monday,batting second
India,Sri Lanka,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1988,Friday,batting first
India,New Zealand,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1988,Sunday,batting first
India,New Zealand,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1988,Friday,batting first
India,West Indies,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1988,Sunday,batting first
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1988,Wednesday,batting first
India,West Indies,Sharjah,West Indies,U.A.E.,Neutral,Neutral,First,Second,1988,Friday,batting second
India,Sri Lanka,Dhaka,Sri Lanka,Bangladesh,Neutral,Neutral,Second,First,1988,Saturday,batting first
India,Pakistan,Dhaka,India,Bangladesh,Neutral,Neutral,Second,First,1988,Monday,batting second
India,Sri Lanka,Dhaka,India,Bangladesh,Neutral,Neutral,Second,First,1988,Friday,batting second
India,New Zealand,Visakhapatnam,India,India,Home,Away,Second,First,1988,Saturday,batting second
India,New Zealand,Cuttack,India,India,Home,Away,Second,First,1988,Monday,batting second
India,New Zealand,Indore,India,India,Home,Away,First,Second,1988,Thursday,batting first
India,New Zealand,Vadodara,India,India,Home,Away,Second,First,1988,Saturday,batting second
India,West Indies,Sharjah,West Indies,U.A.E.,Neutral,Neutral,First,Second,1989,Friday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1989,Sunday,batting second
India,West Indies,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1989,Monday,batting first
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1989,Friday,batting first
India,Sri Lanka,Ahmedabad,India,India,Home,Away,First,Second,1989,Sunday,batting first
India,West Indies,Delhi,West Indies,India,Home,Away,Second,First,1989,Monday,batting first
India,England,Kanpur,India,India,Home,Away,Second,First,1989,Wednesday,batting second
India,Australia,Bengaluru,India,India,Home,Away,Second,First,1989,Friday,batting second
India,Pakistan,Kolkata,Pakistan,India,Home,Away,Second,First,1989,Saturday,batting first
India,West Indies,Mumbai,West Indies,India,Home,Away,First,Second,1989,Monday,batting second
India,Sri Lanka,Sharjah,Sri Lanka,U.A.E.,Neutral,Neutral,First,Second,1990,Wednesday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1990,Friday,batting first
India,Sri Lanka,Nagpur,India,India,Home,Away,First,Second,1990,Saturday,batting first
India,Sri Lanka,Pune,India,India,Home,Away,Second,First,1990,Wednesday,batting second
India,Sri Lanka,Margao,Sri Lanka,India,Home,Away,First,Second,1990,Saturday,batting second
India,Bangladesh,Chandigarh,India,India,Home,Away,Second,First,1990,Tuesday,batting second
India,Sri Lanka,Cuttack,Sri Lanka,India,Home,Away,Second,First,1990,Friday,batting first
India,Sri Lanka,Kolkata,India,India,Home,Away,Second,First,1991,Friday,batting second
India,Pakistan,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1991,Friday,batting first
India,West Indies,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1991,Saturday,batting first
India,West Indies,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1991,Tuesday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1991,Wednesday,batting first
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1991,Friday,batting first
India,South Africa,Kolkata,India,India,Home,Away,Second,First,1991,Sunday,batting second
India,South Africa,Gwalior,India,India,Home,Away,First,Second,1991,Tuesday,batting first
India,West Indies,Adelaide,India,Australia,Neutral,Neutral,First,Second,1991,Saturday,batting first
India,West Indies,Brisbane,West Indies,Australia,Neutral,Neutral,First,Second,1992,Saturday,batting second
India,West Indies,Melbourne,India,Australia,Neutral,Neutral,Second,First,1992,Thursday,batting second
India,Pakistan,Sydney,India,Australia,Neutral,Neutral,First,Second,1992,Wednesday,batting first
India,Zimbabwe,Hamilton,India,New Zealand,Neutral,Neutral,First,Second,1992,Saturday,batting first
India,West Indies,Wellington,West Indies,New Zealand,Neutral,Neutral,First,Second,1992,Tuesday,batting second
India,South Africa,Adelaide,South Africa,Australia,Neutral,Neutral,First,Second,1992,Sunday,batting second
India,England,Jaipur,England,India,Home,Away,First,Second,1993,Monday,batting second
India,England,Chandigarh,India,India,Home,Away,Second,First,1993,Thursday,batting second
India,England,Bengaluru,England,India,Home,Away,Second,First,1993,Friday,batting first
India,England,Jamshedpur,England,India,Home,Away,First,Second,1993,Monday,batting second
India,England,Gwalior,India,India,Home,Away,Second,First,1993,Thursday,batting second
India,England,Gwalior,India,India,Home,Away,Second,First,1993,Friday,batting second
India,Zimbabwe,Faridabad,India,India,Home,Away,First,Second,1993,Friday,batting first
India,Zimbabwe,Guwahati,India,India,Home,Away,Second,First,1993,Monday,batting second
India,Zimbabwe,Pune,India,India,Home,Away,Second,First,1993,Thursday,batting second
India,Sri Lanka,Kanpur,India,India,Home,Away,Second,First,1993,Sunday,batting second
India,West Indies,Ahmedabad,West Indies,India,Home,Away,Second,First,1993,Tuesday,batting first
India,South Africa,Kolkata,India,India,Home,Away,First,Second,1993,Wednesday,batting first
India,West Indies,Kolkata,India,India,Home,Away,First,Second,1993,Saturday,batting first
India,Sri Lanka,Rajkot,India,India,Home,Away,First,Second,1994,Tuesday,batting first
India,Sri Lanka,Hyderabad,India,India,Home,Away,Second,First,1994,Friday,batting second
India,Sri Lanka,Jalandhar,Sri Lanka,India,Home,Away,First,Second,1994,Sunday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1994,Friday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1994,Friday,batting first
India,West Indies,Faridabad,West Indies,India,Home,Away,Second,First,1994,Monday,batting first
India,West Indies,Mumbai,India,India,Home,Away,First,Second,1994,Thursday,batting first
India,West Indies,Chennai,India,India,Home,Away,Second,First,1994,Sunday,batting second
India,New Zealand,Vadodara,India,India,Home,Away,Second,First,1994,Friday,batting second
India,West Indies,Kanpur,West Indies,India,Home,Away,Second,First,1994,Sunday,batting first
India,New Zealand,Delhi,India,India,Home,Away,First,Second,1994,Thursday,batting first
India,West Indies,Kolkata,India,India,Home,Away,First,Second,1994,Saturday,batting first
India,West Indies,Visakhapatnam,India,India,Home,Away,First,Second,1994,Monday,batting first
India,West Indies,Cuttack,India,India,Home,Away,Second,First,1994,Wednesday,batting second
India,West Indies,Jaipur,India,India,Home,Away,First,Second,1994,Friday,batting first
India,South Africa,Hamilton,South Africa,New Zealand,Neutral,Neutral,Second,First,1995,Saturday,batting first
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1995,Friday,batting first
