,Unnamed: 0,Scorecard,Team 1,Team 2,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,year,Day,Margin,Victory
24,24,ODI # 28,India,New Zealand,Manchester,1975-06-14,New Zealand,England,Neutral,Neutral,First,Second,1975,Saturday,4 wickets,batting second
55,56,ODI # 61,India,West Indies,Birmingham,1979-06-09,West Indies,England,Neutral,Neutral,First,Second,1979,Saturday,9 wickets,batting second
59,60,ODI # 65,India,New Zealand,Leeds,1979-06-13,New Zealand,England,Neutral,Neutral,First,Second,1979,Wednesday,8 wickets,batting second
62,63,ODI # 68,India,Sri Lanka,Manchester,1979-06-16,Sri Lanka,England,Neutral,Neutral,Second,First,1979,Saturday,47 runs,batting first
93,94,ODI # 99,India,New Zealand,Perth,1980-12-09,India,Australia,Neutral,Neutral,First,Second,1980,Tuesday,5 runs,batting first
96,97,ODI # 102,India,New Zealand,Brisbane,1980-12-21,New Zealand,Australia,Neutral,Neutral,First,Second,1980,Sunday,3 wickets,batting second
97,98,ODI # 103,India,New Zealand,Adelaide,1980-12-23,India,Australia,Neutral,Neutral,First,Second,1980,Tuesday,6 runs,batting first
99,100,ODI # 105,India,New Zealand,Melbourne,1981-01-10,New Zealand,Australia,Neutral,Neutral,First,Second,1981,Saturday,10 wickets,batting second
103,104,ODI # 109,India,New Zealand,Brisbane,1981-01-18,New Zealand,Australia,Neutral,Neutral,Second,First,1981,Sunday,22 runs,batting first
118,119,ODI # 125,India,England,Ahmedabad,1981-11-25,England,India,Home,Away,First,Second,1981,Wednesday,5 wickets,batting second
124,125,ODI # 131,India,England,Jalandhar,1981-12-20,India,India,Home,Away,Second,First,1981,Sunday,6 wickets,batting second
136,137,ODI # 143,India,England,Cuttack,1982-01-27,India,India,Home,Away,Second,First,1982,Wednesday,5 wickets,batting second
149,150,ODI # 156,India,Sri Lanka,Amritsar,1982-09-12,India,India,Home,Away,First,Second,1982,Sunday,78 runs,batting first
150,151,ODI # 157,India,Sri Lanka,Delhi,1982-09-15,India,India,Home,Away,Second,First,1982,Wednesday,6 wickets,batting second
152,153,ODI # 159,India,Sri Lanka,Bengaluru,1982-09-26,India,India,Home,Away,Second,First,1982,Sunday,6 wickets,batting second
190,191,ODI # 200,India,West Indies,Manchester,1983-06-09,India,England,Neutral,Neutral,First,Second,1983,Thursday,34 runs,batting first
194,195,ODI # 204,India,Zimbabwe,Leicester,1983-06-11,India,England,Neutral,Neutral,Second,First,1983,Saturday,5 wickets,batting second
